Price,Address,City,Province,Details,URL,Image File
"$179,900","603 Wellington ST W,",Sault Ste. Marie,ON,n/a bed 0 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/603-wellington-st-w-wp_idm73000004-27195006-lst,No Image Available
"$77,500","2 Sandpiper AVE,",Manitouwadge,ON,n/a bed 0 bath,https://www.remax.ca/on/manitouwadge-real-estate/2-sandpiper-ave-wp_idm73000004-27194843-lst,No Image Available
"$198,000","4012F HWY 537,",Wanup,ON,3 bed 2 bath,https://www.remax.ca/on/wanup-real-estate/4012f-hwy-537-wp_idm73000004-27194812-lst,No Image Available
"$425,000","112 Highway 129,",Chapleau,ON,4 bed 2 bath,https://www.remax.ca/on/chapleau-real-estate/112-highway-129-wp_idm73000004-27194186-lst,No Image Available
"$1,295,000","412 Fraser RD,",Oliver Paipoonge,ON,4 bed 3 bath,https://www.remax.ca/luxury/on/oliver-paipoonge-real-estate/412-fraser-rd-wp_idm73000004-27194454-lst,No Image Available
"$54,900","62-68 Victoria ST,",Sault Ste. Marie,ON,n/a bed 0 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/62-68-victoria-st-wp_idm73000004-27194392-lst,No Image Available
"$339,900","17 Routledge AVE,",Sault Ste. Marie,ON,2 bed 1 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/17-routledge-ave-wp_idm73000004-27193867-lst,images/17_Routledge_AVE__Sault_Ste__Marie__ON.jpg
"$599,900","125 Sapphire DR,",Thunder Bay,ON,4 bed 3 bath,https://www.remax.ca/luxury/on/thunder-bay-real-estate/125-sapphire-dr-wp_idm73000004-27194118-lst,images/125_Sapphire_DR__Thunder_Bay__ON.jpg
"$149,900","369-371 Wellington ST E,",Sault Ste Marie,ON,n/a bed 0 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/369-371-wellington-st-e-wp_idm73000004-27194057-lst,images/369_371_Wellington_ST_E__Sault_Ste_Marie__ON.jpg
"$129,000","88 Grace ST,",Sault Ste Marie,ON,4 bed 1 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/88-grace-st-wp_idm73000004-27194056-lst,images/88_Grace_ST__Sault_Ste_Marie__ON.jpg
"$179,900","566 Albert ST W,",Sault Ste Marie,ON,n/a bed 0 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/566-albert-st-w-wp_idm73000004-27193869-lst,images/566_Albert_ST_W__Sault_Ste_Marie__ON.jpg
"$129,900","136 Biggings AVE,",Sault Ste Marie,ON,3 bed 2 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/136-biggings-ave-wp_idm73000004-27193868-lst,images/136_Biggings_AVE__Sault_Ste_Marie__ON.jpg
"$339,900","30 Kirby AVE,",Timmins,ON,n/a bed 0 bath,https://www.remax.ca/on/timmins-real-estate/30-kirby-ave-wp_idm73000004-27193375-lst,images/30_Kirby_AVE__Timmins__ON.jpg
"$549,900","3955 MACMILLAN Drive,",Val Caron,ON,5 bed 3 bath,https://www.remax.ca/on/val-caron-real-estate/3955-macmillan-drive-wp_idm73000004-27193080-lst,images/3955_MACMILLAN_Drive__Val_Caron__ON.jpg
"$119,000","14 Grace ST,",Sault Ste Marie,ON,n/a bed 0 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/14-grace-st-wp_idm73000004-27193146-lst,No Image Available
"$639,500","1220 Old Garden River RD,",Sault Ste. Marie,ON,2 bed 3 bath,https://www.remax.ca/luxury/on/sault-ste-marie-real-estate/1220-old-garden-river-rd-wp_idm73000004-27193061-lst,No Image Available
"$346,500","37 Ross ST,",Dryden,ON,3 bed 2 bath,https://www.remax.ca/on/dryden-real-estate/37-ross-st-wp_idm73000004-27192560-lst,No Image Available
"$424,900","K246 HWY 11,",Mine Center,ON,4 bed 3 bath,https://www.remax.ca/on/mine-center-real-estate/k246-hwy-11-wp_idm73000004-27192559-lst,No Image Available
"$239,900","36B Valley CRES,",Elliot Lake,ON,2 bed 2 bath,https://www.remax.ca/on/elliot-lake-real-estate/36b-valley-cres-wp_idm73000004-27192529-lst,No Image Available
"$269,900","311 Sussex RD,",Sault Ste. Marie,ON,3 bed 2 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/311-sussex-rd-wp_idm73000004-27192528-lst,No Image Available
"$325,000","282A Whispering Pines RD,",Batchawana,ON,3 bed 1 bath,https://www.remax.ca/on/batchawana-real-estate/282a-whispering-pines-rd-wp_idm73000004-27192343-lst,No Image Available
"$135,000","121 Ross RD,",Smooth Rock Falls,ON,3 bed 2 bath,https://www.remax.ca/on/smooth-rock-falls-real-estate/121-ross-rd-wp_idm73000004-27192346-lst,No Image Available
"$549,900","126 Third LIN E,",Sault Ste. Marie,ON,4 bed 2 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/126-third-lin-e-wp_idm73000004-27192251-lst,No Image Available
"$529,900","955 Annette Street,",Hanmer,ON,3 bed 3 bath,https://www.remax.ca/on/hanmer-real-estate/955-annette-street-wp_idm73000004-27192323-lst,No Image Available
"$119,000","Part Location S646 PART 1 23R-11165, Orde Island,",Minaki,ON,n/a bed 0 bath,https://www.remax.ca/on/minaki-real-estate/part-location-s646-part-1-23r-11165-orde-island-wp_idm73000004-27192260-lst,No Image Available
"$129,000","Part Location S646 Part 2 23R-11165, Orde Island,",Minaki,ON,n/a bed 0 bath,https://www.remax.ca/on/minaki-real-estate/part-location-s646-part-2-23r-11165-orde-island-wp_idm73000004-27192261-lst,No Image Available
"$269,900","24 Bowker ST,",Sault Ste. Marie,ON,3 bed 1 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/24-bowker-st-wp_idm73000004-27192252-lst,images/24_Bowker_ST__Sault_Ste__Marie__ON.jpg
"$209,000","182397 CRICK Road,",Ingram,ON,1 bed 1 bath,https://www.remax.ca/on/ingram-real-estate/182397-crick-road-wp_idm73000004-27192030-lst,images/182397_CRICK_Road__Ingram__ON.jpg
"$349,900","269 Sheridan CRES,",Thunder Bay,ON,3 bed 1 bath,https://www.remax.ca/on/thunder-bay-real-estate/269-sheridan-cres-wp_idm73000004-27192145-lst,images/269_Sheridan_CRES__Thunder_Bay__ON.jpg
"$499,900","290 Anten ST,",Thunder Bay,ON,4 bed 2 bath,https://www.remax.ca/on/thunder-bay-real-estate/290-anten-st-wp_idm73000004-27192146-lst,images/290_Anten_ST__Thunder_Bay__ON.jpg
"$435,500","32 Kelsey Avenue,",Sudbury,ON,3 bed 2 bath,https://www.remax.ca/on/sudbury-real-estate/32-kelsey-avenue-wp_idm73000004-27192133-lst,images/32_Kelsey_Avenue__Sudbury__ON.jpg
"$624,900","168 Ravina Avenue,",Garson,ON,5 bed 3 bath,https://www.remax.ca/on/garson-real-estate/168-ravina-avenue-wp_idm73000004-27192130-lst,images/168_Ravina_Avenue__Garson__ON.jpg
"$529,500","4493 Elysee Crescent,",Hanmer,ON,5 bed 2 bath,https://www.remax.ca/on/hanmer-real-estate/4493-elysee-crescent-wp_idm73000004-27192129-lst,images/4493_Elysee_Crescent__Hanmer__ON.jpg
"$19,900","22 Spanish Street,",Spanish,ON,n/a bed 0 bath,https://www.remax.ca/on/spanish-real-estate/22-spanish-street-wp_idm73000004-27192131-lst,images/22_Spanish_Street__Spanish__ON.jpg
"$85,000","0 Graham Road,",Whitefish,ON,n/a bed 0 bath,https://www.remax.ca/on/whitefish-real-estate/0-graham-road-wp_idm73000004-27192132-lst,No Image Available
"$292,000","39 Houle ST,",Hearst,ON,4 bed 2 bath,https://www.remax.ca/on/hearst-real-estate/39-houle-st-wp_idm73000004-27191904-lst,No Image Available
"$574,900","96 McNaughton Street,",Sudbury,ON,4 bed 3 bath,https://www.remax.ca/on/sudbury-real-estate/96-mcnaughton-street-wp_idm73000004-27191892-lst,No Image Available
"$539,000","118276 Sale Barn RD,",Temiskaming Shores,ON,4 bed 2 bath,https://www.remax.ca/on/temiskaming-shores-real-estate/118276-sale-barn-rd-wp_idm73000004-27191678-lst,No Image Available
"$219,000","264 ALEXANDRA STREET,",Sault Ste Marie,ON,4 bed 2 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/264-alexandra-street-wp_idm73000004-27191844-lst,No Image Available
"$299,000","559 MORIN STREET,",Sault Ste Marie,ON,3 bed 2 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/559-morin-street-wp_idm73000004-27190349-lst,No Image Available
"$414,900","5 BALSAM AVENUE,",Kirkland Lake,ON,n/a bed 0 bath,https://www.remax.ca/on/kirkland-lake-real-estate/5-balsam-avenue-wp_idm73000004-27190123-lst,No Image Available
"$695,000","236 Cedar Green Drive,",Garson,ON,5 bed 2 bath,https://www.remax.ca/on/garson-real-estate/236-cedar-green-drive-wp_idm73000004-27189944-lst,No Image Available
"$439,000","136 Hwy 129 Highway,",Chapleau,ON,3 bed 3 bath,https://www.remax.ca/on/chapleau-real-estate/136-hwy-129-highway-wp_idm73000004-27188805-lst,No Image Available
"$399,000","3700 Hwy 17 West W,",Greater Sudbury,ON,3 bed 2 bath,https://www.remax.ca/on/greater-sudbury-real-estate/3700-hwy-17-west-w-wp_idm73000004-27188804-lst,No Image Available
"$99,000","85 Monk ST,",Chapleau,ON,3 bed 1 bath,https://www.remax.ca/on/chapleau-real-estate/85-monk-st-wp_idm73000004-27188648-lst,No Image Available
"$625,000","224 Birch DR,",Temiskaming Shores,ON,3 bed 2 bath,https://www.remax.ca/on/temiskaming-shores-real-estate/224-birch-dr-wp_idm73000004-27188532-lst,images/224_Birch_DR__Temiskaming_Shores__ON.jpg
"$124,900","21 Shedden Avenue,",Spanish,ON,2 bed 1 bath,https://www.remax.ca/on/spanish-real-estate/21-shedden-avenue-wp_idm73000004-27188531-lst,images/21_Shedden_Avenue__Spanish__ON.jpg
"$349,900","24 Stewart Lake Road,",Hurkett,ON,3 bed 1 bath,https://www.remax.ca/on/hurkett-real-estate/24-stewart-lake-road-wp_idm73000004-27188160-lst,images/24_Stewart_Lake_Road__Hurkett__ON.jpg
"$369,900","145 Finn RD,",Searchmont,ON,2 bed 2 bath,https://www.remax.ca/on/searchmont-real-estate/145-finn-rd-wp_idm73000004-27188101-lst,images/145_Finn_RD__Searchmont__ON.jpg
"$319,900","90 Fourth LIN W,",Sault Ste. Marie,ON,3 bed 1 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/90-fourth-lin-w-wp_idm73000004-27188100-lst,images/90_Fourth_LIN_W__Sault_Ste__Marie__ON.jpg
"$289,900","115 McKirdy AVE,",Nipigon,ON,3 bed 1 bath,https://www.remax.ca/on/nipigon-real-estate/115-mckirdy-ave-wp_idm73000004-27187951-lst,images/115_McKirdy_AVE__Nipigon__ON.jpg
"$479,000","10 Clemow Avenue,",Sudbury,ON,5 bed 2 bath,https://www.remax.ca/on/sudbury-real-estate/10-clemow-avenue-wp_idm73000004-27187884-lst,images/10_Clemow_Avenue__Sudbury__ON.jpg
"$1,478,000","259-261 Walford Road,",Sudbury,ON,n/a bed 0 bath,https://www.remax.ca/on/sudbury-real-estate/259-261-walford-road-wp_idm73000004-27187885-lst,images/259_261_Walford_Road__Sudbury__ON.jpg
"$739,000","261 Walford Road,",Sudbury,ON,3 bed 2 bath,https://www.remax.ca/on/sudbury-real-estate/261-walford-road-wp_idm73000004-27187886-lst,No Image Available
"$399,900","120 - 122 Lansdowne Street,",Cartier,ON,n/a bed 0 bath,https://www.remax.ca/on/cartier-real-estate/120-122-lansdowne-street-wp_idm73000004-27187880-lst,No Image Available
"$449,000","355 Labine Street,",Sudbury,ON,n/a bed 0 bath,https://www.remax.ca/on/sudbury-real-estate/355-labine-street-wp_idm73000004-27187882-lst,No Image Available
"$299,900","320 Clouthier Road,",St. Charles,ON,3 bed 1 bath,https://www.remax.ca/on/st-charles-real-estate/320-clouthier-road-wp_idm73000004-27187883-lst,No Image Available
"$599,000","1016 Lauzon Village RD,",Algoma Mills,ON,n/a bed 0 bath,https://www.remax.ca/on/algoma-mills-real-estate/1016-lauzon-village-rd-wp_idm73000004-27187888-lst,No Image Available
"$599,000","33 ALEXANDRA Court,",Callander,ON,n/a bed 0 bath,https://www.remax.ca/on/callander-real-estate/33-alexandra-court-wp_idm73000004-27187838-lst,No Image Available
"$297,000","443 Southern Ave,",Thunder Bay,ON,2 bed 2 bath,https://www.remax.ca/on/thunder-bay-real-estate/443-southern-ave-wp_idm73000004-27187804-lst,No Image Available
"$379,999","2600 Donald ST E,",Thunder Bay,ON,4 bed 2 bath,https://www.remax.ca/on/thunder-bay-real-estate/2600-donald-st-e-wp_idm73000004-27187803-lst,No Image Available
"$350,000","111 Woodcrest DR,",Longlac,Greenstone,5 bed 2 bath,https://www.remax.ca/on/longlac-greenstone-real-estate/111-woodcrest-dr-wp_idm73000004-27187671-lst,No Image Available
"$579,000","607 BEAR PASS RD,",FORT FRANCES,ON,2 bed 3 bath,https://www.remax.ca/on/fort-frances-real-estate/607-bear-pass-rd-wp_idm73000004-27187211-lst,No Image Available
"$339,000","230 Otto ST,",Thunder Bay,ON,2 bed 2 bath,https://www.remax.ca/on/thunder-bay-real-estate/230-otto-st-wp_idm73000004-27187212-lst,No Image Available
"$209,900","14 Golden AVE,",Timmins,ON,3 bed 2 bath,https://www.remax.ca/on/timmins-real-estate/14-golden-ave-wp_idm73000004-27187148-lst,No Image Available
"$250,000","243 Fourth ST W,",Fort Frances,ON,3 bed 1 bath,https://www.remax.ca/on/fort-frances-real-estate/243-fourth-st-w-wp_idm73000004-27186953-lst,images/243_Fourth_ST_W__Fort_Frances__ON.jpg
"$450,000","90 SIXTH ST,",EARLTON,ON,3 bed 2 bath,https://www.remax.ca/on/earlton-real-estate/90-sixth-st-wp_idm73000004-27186949-lst,images/90_SIXTH_ST__EARLTON__ON.jpg
"$294,900","207 590 Beverly ST,",Thunder Bay,ON,2 bed 2 bath,https://www.remax.ca/on/thunder-bay-real-estate/207-590-beverly-st-wp_idm73000004-27186837-lst,images/207_590_Beverly_ST__Thunder_Bay__ON.jpg
"$299,900","308 LAURIER Drive,",Bonfield,ON,4 bed 1 bath,https://www.remax.ca/on/bonfield-real-estate/308-laurier-drive-wp_idm73000004-27186687-lst,images/308_LAURIER_Drive__Bonfield__ON.jpg
"$319,000","813 W Gore Street,",Thunder Bay,ON,3 bed 2 bath,https://www.remax.ca/on/thunder-bay-real-estate/813-w-gore-street-wp_idm73000004-27186640-lst,images/813_W_Gore_Street__Thunder_Bay__ON.jpg
"$379,000","89 Mortimer Road,",Nestor Falls,ON,3 bed 1 bath,https://www.remax.ca/on/nestor-falls-real-estate/89-mortimer-road-wp_idm73000004-27186211-lst,images/89_Mortimer_Road__Nestor_Falls__ON.jpg
"$344,900","549 Morrison AVE,",Sault Ste. Marie,ON,3 bed 2 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/549-morrison-ave-wp_idm73000004-27186115-lst,images/549_Morrison_AVE__Sault_Ste__Marie__ON.jpg
"$449,900","75 O'Brian AVE,",Timmins,ON,3 bed 3 bath,https://www.remax.ca/on/timmins-real-estate/75-o-brian-ave-wp_idm73000004-27186633-lst,No Image Available
"$1,468,750","702 Pinecone Road,",Skead,ON,3 bed 2 bath,https://www.remax.ca/luxury/on/skead-real-estate/702-pinecone-road-wp_idm73000004-27186627-lst,No Image Available
"$39,900","5 Station RD,",Bruce Mines,ON,n/a bed 0 bath,https://www.remax.ca/on/bruce-mines-real-estate/5-station-rd-wp_idm73000004-27185950-lst,No Image Available
"$495,000","1217 Goulais AVE,",Sault Ste. Marie,ON,5 bed 3 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/1217-goulais-ave-wp_idm73000004-27185944-lst,No Image Available
"$389,900","11 Henry Street,",Garson,ON,3 bed 2 bath,https://www.remax.ca/on/garson-real-estate/11-henry-street-wp_idm73000004-27185934-lst,No Image Available
"$349,900","1162 Rinfret Street,",Sudbury,ON,3 bed 2 bath,https://www.remax.ca/on/sudbury-real-estate/1162-rinfret-street-wp_idm73000004-27185932-lst,No Image Available
"$399,800","848 Main Street,",Val Caron,ON,4 bed 2 bath,https://www.remax.ca/on/val-caron-real-estate/848-main-street-wp_idm73000004-27185931-lst,No Image Available
"$429,900","2134 Elderwood Drive,",Sudbury,ON,4 bed 2 bath,https://www.remax.ca/on/sudbury-real-estate/2134-elderwood-drive-wp_idm73000004-27185929-lst,No Image Available
"$475,000","1112 Howey Drive,",Sudbury,ON,n/a bed 0 bath,https://www.remax.ca/on/sudbury-real-estate/1112-howey-drive-wp_idm73000004-27185928-lst,No Image Available
"$299,900","169 Bell ST,",Nipigon,ON,4 bed 2 bath,https://www.remax.ca/on/nipigon-real-estate/169-bell-st-wp_idm73000004-27185866-lst,No Image Available
"$299,000","926 Crawford PL,",Thunder Bay,ON,3 bed 1 bath,https://www.remax.ca/on/thunder-bay-real-estate/926-crawford-pl-wp_idm73000004-27185867-lst,No Image Available
"$39,900","9 Station RD,",Bruce Mines,ON,n/a bed 0 bath,https://www.remax.ca/on/bruce-mines-real-estate/9-station-rd-wp_idm73000004-27185827-lst,No Image Available
"$369,900","3581 Highway 556,",Searchmont,ON,2 bed 2 bath,https://www.remax.ca/on/searchmont-real-estate/3581-highway-556-wp_idm73000004-27185738-lst,images/3581_Highway_556__Searchmont__ON.jpg
"$227,000","93/94 Colonization,",Spanish,ON,3 bed 1 bath,https://www.remax.ca/on/spanish-real-estate/93-94-colonization-wp_idm73000004-27185732-lst,images/93_94_Colonization__Spanish__ON.jpg
"$379,900","291 Carmen Street,",Hanmer,ON,3 bed 2 bath,https://www.remax.ca/on/hanmer-real-estate/291-carmen-street-wp_idm73000004-27185731-lst,images/291_Carmen_Street__Hanmer__ON.jpg
"$529,900","1287 Marcel Street,",Sudbury,ON,3 bed 2 bath,https://www.remax.ca/on/sudbury-real-estate/1287-marcel-street-wp_idm73000004-27185730-lst,images/1287_Marcel_Street__Sudbury__ON.jpg
"$449,900","855 PINEWOOD Road,",North Bay,ON,4 bed 2 bath,https://www.remax.ca/on/north-bay-real-estate/855-pinewood-road-wp_idm73000004-27185520-lst,images/855_PINEWOOD_Road__North_Bay__ON.jpg
"$219,900","Lot 1 Woodland Rd,",Greater Sudbury,ON,n/a bed 0 bath,https://www.remax.ca/on/greater-sudbury-real-estate/lot-1-woodland-rd-wp_idm73000004-27185497-lst,images/Lot_1_Woodland_Rd__Greater_Sudbury__ON.jpg
"$219,900","Lot 1 Woodland Rd,",Wahnapitae,ON,1 bed 1 bath,https://www.remax.ca/on/wahnapitae-real-estate/lot-1-woodland-rd-wp_idm73000004-27185496-lst,images/Lot_1_Woodland_Rd__Wahnapitae__ON.jpg
"$450,000","3432 Falconbridge Highway,",Garson,ON,n/a bed 0 bath,https://www.remax.ca/on/garson-real-estate/3432-falconbridge-highway-wp_idm73000004-27185345-lst,images/3432_Falconbridge_Highway__Garson__ON.jpg
"$195,000","32 LaPrairie Crescent,",Elliot Lake,ON,3 bed 2 bath,https://www.remax.ca/on/elliot-lake-real-estate/32-laprairie-crescent-wp_idm73000004-27184607-lst,No Image Available
"$169,900","225 Third Street East,",Fort Frances,ON,2 bed 1 bath,https://www.remax.ca/on/fort-frances-real-estate/225-third-street-east-wp_idm73000004-27183949-lst,No Image Available
"$79,900","Lot 11 Con. 2, Birchdale Road,",MUTRIE,ON,n/a bed 0 bath,https://www.remax.ca/on/mutrie-real-estate/lot-11-con-2-birchdale-road-wp_idm73000004-27183508-lst,No Image Available
"$1,400,000","2033 Panache North Road,",Whitefish,ON,4 bed 3 bath,https://www.remax.ca/luxury/on/whitefish-real-estate/2033-panache-north-road-wp_idm73000004-27183473-lst,No Image Available
"$320,000","Part Location S646 Orde Island,",Minaki,ON,n/a bed 0 bath,https://www.remax.ca/on/minaki-real-estate/part-location-s646-orde-island-wp_idm73000004-27183249-lst,No Image Available
"$325,000","31 Front Street,",Capreol,ON,3 bed 2 bath,https://www.remax.ca/on/capreol-real-estate/31-front-street-wp_idm73000004-27183217-lst,No Image Available
"$259,900","517 MEAD Blvd.,",Espanola,ON,5 bed 2 bath,https://www.remax.ca/on/espanola-real-estate/517-mead-blvd-wp_idm73000004-27183218-lst,No Image Available
"$299,900","100 EMPRESS AVE S,",THUNDER BAY,ON,3 bed 2 bath,https://www.remax.ca/on/thunder-bay-real-estate/100-empress-ave-s-wp_idm73000004-27182583-lst,No Image Available
"$658,800","306 Clearwater WAY,",Thunder Bay,ON,3 bed 2 bath,https://www.remax.ca/luxury/on/thunder-bay-real-estate/306-clearwater-way-wp_idm73000004-27182506-lst,No Image Available
"$109,900","Lot 5 Con 4 Flemings RD,",Temiskaming Shores,ON,n/a bed 0 bath,https://www.remax.ca/on/temiskaming-shores-real-estate/lot-5-con-4-flemings-rd-wp_idm73000004-27182535-lst,No Image Available
"$319,000","428 North ST,",Sault Ste Marie,ON,3 bed 1 bath,https://www.remax.ca/on/sault-ste-marie-real-estate/428-north-st-wp_idm73000004-27182277-lst,No Image Available
"$419,900","935 Danforth Avenue,",Sudbury,ON,3 bed 2 bath,https://www.remax.ca/on/sudbury-real-estate/935-danforth-avenue-wp_idm73000004-27182272-lst,No Image Available
"$299,900","385 Bell Street,",Massey,ON,0 bed 0 bath,https://www.remax.ca/on/massey-real-estate/385-bell-street-wp_idm73000004-27182266-lst,images/385_Bell_Street__Massey__ON.jpg
"$79,900","425 Eva Street,",Sudbury,ON,n/a bed 0 bath,https://www.remax.ca/on/sudbury-real-estate/425-eva-street-wp_idm73000004-27182267-lst,images/425_Eva_Street__Sudbury__ON.jpg
"$769,900","339 ELM STREET,",Sudbury Remote Area,ON,11 bed 6 bath,https://www.remax.ca/on/sudbury-remote-area-real-estate/339-elm-street-wp_idm73000004-27182254-lst,images/339_ELM_STREET__Sudbury_Remote_Area__ON.jpg
"$269,900","604 BANNER Avenue Unit# 9,",North Bay,ON,3 bed 2 bath,https://www.remax.ca/on/north-bay-real-estate/604-banner-avenue-unit-9-wp_idm73000004-27181873-lst,images/604_BANNER_Avenue_Unit__9__North_Bay__ON.jpg
"$624,900","114 VERONICA Drive,",North Bay,ON,5 bed 4 bath,https://www.remax.ca/on/north-bay-real-estate/114-veronica-drive-wp_idm73000004-27181869-lst,images/114_VERONICA_Drive__North_Bay__ON.jpg
"$1,349,000","571B REGAL Road,",North Bay,ON,3 bed 4 bath,https://www.remax.ca/luxury/on/north-bay-real-estate/571b-regal-road-wp_idm73000004-27181872-lst,images/571B_REGAL_Road__North_Bay__ON.jpg
"$369,900","1419 John Street RD,",Thunder Bay,ON,4 bed 2 bath,https://www.remax.ca/on/thunder-bay-real-estate/1419-john-street-rd-wp_idm73000004-27181856-lst,images/1419_John_Street_RD__Thunder_Bay__ON.jpg
"$309,900","605 145 Fanshaw ST,",Thunder Bay,ON,1 bed 1 bath,https://www.remax.ca/on/thunder-bay-real-estate/605-145-fanshaw-st-wp_idm73000004-27181616-lst,images/605_145_Fanshaw_ST__Thunder_Bay__ON.jpg
"$399,000","301 Cooke ST,",Temiskaming Shores,ON,5 bed 2 bath,https://www.remax.ca/on/temiskaming-shores-real-estate/301-cooke-st-wp_idm73000004-27181610-lst,No Image Available
"$479,900","136 Baker Drive,",Nairn Centre,ON,2 bed 1 bath,https://www.remax.ca/on/nairn-centre-real-estate/136-baker-drive-wp_idm73000004-27181573-lst,No Image Available
"$424,900","109 Third Avenue,",Lively,ON,4 bed 2 bath,https://www.remax.ca/on/lively-real-estate/109-third-avenue-wp_idm73000004-27181572-lst,No Image Available
"$209,900","127 Heron ST,",Thunder Bay,ON,4 bed 3 bath,https://www.remax.ca/on/thunder-bay-real-estate/127-heron-st-wp_idm73000004-27181514-lst,No Image Available
"$259,000","170 Stenberg RD,",Oxdrift,ON,3 bed 1 bath,https://www.remax.ca/on/oxdrift-real-estate/170-stenberg-rd-wp_idm73000004-27181515-lst,No Image Available
"$197,500","48 Yawkey AVE,",Marathon,ON,4 bed 2 bath,https://www.remax.ca/on/marathon-real-estate/48-yawkey-ave-wp_idm73000004-27181307-lst,No Image Available
"$179,900","0 Adrian Lake RD,",Kakabeka Falls,ON,1 bed 2 bath,https://www.remax.ca/on/kakabeka-falls-real-estate/0-adrian-lake-rd-wp_idm73000004-27181308-lst,No Image Available
"$175,000","70 SAVICKY Drive,",Espanola,ON,2 bed 1 bath,https://www.remax.ca/on/espanola-real-estate/70-savicky-drive-wp_idm73000004-26724265-lst,No Image Available
"$309,000","545 Morris Street,",Greater Sudbury,ON,n/a bed 0 bath,https://www.remax.ca/on/greater-sudbury-real-estate/545-morris-street-wp_idm73000004-27181286-lst,No Image Available
"$399,900","473 SECOND Avenue,",Espanola,ON,n/a bed 0 bath,https://www.remax.ca/on/espanola-real-estate/473-second-avenue-wp_idm73000004-27181287-lst,No Image Available
"$289,900","221 Miles St W.,",Thunder Bay,ON,3 bed 1 bath,https://www.remax.ca/on/thunder-bay-real-estate/221-miles-st-w-wp_idm73000004-27180900-lst,No Image Available
